work_id,title,alternate_titles,genre,historical_period,era,date_original,year_start,year_end,date_certainty,first_publication_date,first_publication_year,relation_scope,authenticity_status,authors,author_roles,canonical_text,text_script,transcription_status,completeness,inscription_number,location_context,lineation_note,source_citations,source_urls,facsimile_count,facsimile_paths,notes
work-wang-shouren-nanan-ciyun,南庵次韵,,七言律诗,明,正德,约正德四年,1509,1509,approximate,,,nearby_prebuild,confirmed,王守仁（字伯安）,王守仁［author，confirmed］,"隔水樵渔亦几家，缘冈石路入溪斜。
松林晚映千峰雨，枫叶秋连万树霞。
渐觉形骸逃物外，未妨游乐在天涯。
频来不用劳僧榻，已借沙鸥一席沙。",简体整理,modern-secondary,complete,,甲秀楼修建前的南庵及南明河附近景观；不是甲秀楼题咏。,,甲秀楼的前世今生，王守仁南庵题咏段［modern-transcription］,https://www.sohu.com/a/955768281_121119015,0,,作为同一片区前史收入，便于回答‘最古早时期’；关系层级不可改作strict_jiaxiu。
work-ma-tingxi-jishang,矶上,,古体诗,明,嘉靖,嘉靖年间,1522,1566,period-range,,,nearby_prebuild,attributed,马廷锡,马廷锡［author，attributed］,"悠然坐矶石，尘虑忽以祛。
垂纶不设饵，渊鳞方跃于。
亦知君子心，在适不在色。
君不见，沙边鸥鸟解忘机，物类浮沉宜不殊。",简体整理,modern-secondary-uncertain,complete,,甲秀楼修建前、今甲秀楼附近渔矶湾；不是甲秀楼题咏。,,南明河畔的栖云亭与渔矶书院，马廷锡《矶上》段［modern-transcription］,https://www.gzstv.com/a/2734a6d7a8eb4114b4219d1e269a5ba1,0,,‘跃于’‘在色’等字疑有传抄或OCR问题，未据格律臆改。
work-jiang-dongzhi-aoji-fu,鳌矶赋有序,鰲磯賦有敘,赋并序,明,万历,万历二十六年戊戌前后,1598,1598,probable,,,site_origin,confirmed,江东之（字长信）,江东之［author，confirmed］,"耽瑞子游黔二稔，偶一日从直指应公憩钓矶，谒武侯祠，见城南河水清涟，舆梁亘跨，曰：‘美哉！水中不渟，民无鱼矣。’公曰：‘堤津未备，潴泽奚繇？障而防之，亦其事也。’相与鸠工，垒石拥阶，宛然鳌极。临流览胜，遂作斯赋。其词曰：
余承简命，言抚黔藩。襟楚泽，锁滇垣，包乌纳，面龙番。牂牁金筑，簇锜攒旛。尔乃命驾乎綦郭，饮马乎流泉，容与乎南明，凝盻乎富川。于以相厥攸宜，卜筑堤閈，俯察仰观，上虹下案，宛在水中，水无漫涣。乃进三老而问之曰：‘孰有当于此者乎？河水弥弥，宁能使逝者如斯？’三老对曰：‘仆闻成梁不易，防川则难。测而定之，有基无坏，民其永赖。然则君侯之所指也，毋亦务是乎？愿闻其概。’
余告之曰：‘是其源也，未穷其际。来自夷菁，达涪出定中，汇贯城。其涨也汤汤乎，若洪涛之浮拍而怒号奔激；其耗也涓涓乎，若清泠之赴坎而潺湲淅沥。易盈易涸，乍沉下浮，与汨俱没，与化俱流。远而环之，覆寥邈而绰约；迫而封之，见阻隘而抟輖。峻为之防，骤泛滥而虞决；低为之阖，时淋漉而逐彪。眷彼涵潭，就伊沙渚。方广得里，下高合宁。弱水中丘，南溟蹲屿。积而能去，散而还聚。颖峰天表，是曰署宾；为章云汉，秀卓城闉。左峦架笔，傍列贵人。衍清塘之寒漱兮，挹犀马之甘泉；吸三宝之灵液兮，贯明珠以缀连。绾北江之青柳，撷西池之白莲。带霁虹之腰玉兮，极南浦之萦漩。
于是我台杌控，我坻线纡。介在涯崖，安于覆盂。飞翬岧嶢，作镇鼎湖；象文昌与武曲，运经纬以昭宪。断鳌首以立极兮，卧长鲸之横堰；回狂澜于瑛碛兮，敞琅玕之叠巘；浮海屋之龙宫兮，讶蜃楼之非幻；步登瀛以出尘兮，共题名于塔雁。左瞻右睐，徙倚婆娑；俯濯清缨，反射纹波。滩声陵影，晨夕烟萝；若吟梁父，忽起渔歌。
伊惟幽人，漱流枕石，心远地偏，山青水碧，灌木丛阴，匿景逃籍，希躅严陵。垂纶自适，维九鼎以一丝兮，客星隐而名高；棹扁舟之去来兮，泛不系而逍遥；遗名利于烟水兮，委直钩于钓鳌。一水盈盈，对瞻古庙；锦宫森严，诸番并曜。怀美人于三顾兮，绻鱼水之遘奇；余心悦其尽瘁兮，鼎足成而运移；诞天威以擒纵兮，乌蛮震而靖夷；俨遗容于尸祝兮，据最胜之江湄。
嗟卧龙之蟠润，虽百世其可师。为龙为鱼，一潜一见；出处侔时，蠖屈虎变。既葆真而閟秀，斯人杰而地灵。荣光塞河，卿霭郁蒸。乘桃浪以游瀚海兮，渭熊飞而干城；挽天河以洗甲兵兮，腾八阵之遗英；歇兰若而夺琳珪兮，掞二表于承明；进可献而退可怀兮，忧则违而乐行。山之高而水之长兮，登斯台其含情。匪大夫作赋，勉尔荣名；髦士壮怀之磊落，惟先哲之是程。",简体整理,ocr-collated-not-character-perfect,complete,,鳌矶、筑堤、垒台建阁的同址初建文献；全文未出现‘甲秀楼’三字。,,《瑞阳阿集》卷五，卷五，卷五［base-text，底本］；《古今图书集成·方舆汇编·职方典》第1526卷，第1526卷，影印页78—79［parallel-witness］,https://www.shidianguji.com/zh/book/CADAL02064788/chapter/1lak3wsbmx6ba；https://zh.wikisource.org/wiki/欽定古今圖書集成/方輿彙編/職方典/第1526卷,5,facsimiles/early_ming_qing/src-ruiyang-v5/scan_p081.jpg；facsimiles/early_ming_qing/src-ruiyang-v5/scan_p082.jpg；facsimiles/early_ming_qing/src-ruiyang-v5/scan_p083.jpg；facsimiles/early_ming_qing/src-ruiyang-v5/scan_p084.jpg；facsimiles/early_ming_qing/src-ruiyang-v5/scan_p085.jpg,据《瑞阳阿集》文字层断句，异体及疑难字尚待逐字影印校勘；年份由任黔时间和集内纪年推定。
work-jiang-dongzhi-jiaxiu-disputed,甲秀楼,,七言律诗,明（传）,万历（传）,现代资料称万历二十六年，待考,1598,1598,disputed,,,strict_jiaxiu,disputed,江东之（字长信）,江东之［attributed-author，disputed］,"明河清浅水悠悠，新筑沙堤接远洲。
秀出三狮连凤翼，雄驱双骏踞鳌头。
渔郎矶曲桃花浪，丞相祠前巨壑舟。
此日临渊何所羡，擎天砥柱在中流。",简体,modern-secondary-unverified,complete,,题名直接指甲秀楼，但归属只有现代网页，未见明清古籍底本。,,山水名胜诗之《甲秀楼》，全文［modern-attribution］；《南明河的故事·赤子诗情咏南明》，明代无题咏论述［negative-evidence］,https://www.kekeshici.com/shicijianshang/ssms/123279.html；https://www.yuncunzhai.com/book/164512.jhtml,0,,《瑞阳阿集》全文检索未见题名及首句；地方文史研究反称未见明代甲秀楼题咏。不得据此断言为现存最早甲秀楼诗。
work-ma-wenqing-jianggongdi-beiji,江公堤碑记,,碑记,明,万历,万历三十四年,1606,1606,certain,,,site_origin,confirmed,马文卿（字瑞符）,马文卿［author，confirmed］,"尝读堪舆家言，谓山川之融结在天，而裁成在人。夫裁成之道，不过目力之巧、工力之具，乃至改天命、夺神功，斯谓尽其当然而不害其为自然者矣。自昔人之为其子若孙计者，靡不讲求其理，冀以钟灵启后。即稍稍小节之疵者，亦必裁其过、益其不及，使适于中，斯祖父无穷之心所由来长远矣。
吾黔会城之南襟带明河，至卧龙冈而稍跳，又其势倾泻而少潴蓄。裁成之法，自昔讲之，以役大费繁，任之者难其人。岁万历丙申，白下江公来抚吾黔，崇文饬武，龛暴剔蠹，靡不悉心筹画；暇则咨询闾阎利弊，次第兴除。如置赈田以备岁祲而祛籴谷之害，拓右文田以优寒士而免定番之支；贫民疾苦者惠药有局，贫妊露产者恤隐有局，冥沉无依者泽幽有田；以至县治之执持、县庠之创议、国乘之笔削，种种惠政所费不尠，俱载《遗爱坊记》中，兹不缕举。
越三年，形家告以筑堤障水之法，或惜其说之晚也。公进父老面询之，佥以畴昔之说对，即毅然任之，曰：‘天下事论其于民有益否耳，奚论其难易也。’爰捐饩搜赎，而财不取之公帑；募工给赀，而力不劳之军夫。甃石灌灰，跨江拥堤；堤之中垒台作奋鳌状，题曰‘鳌头矶’，周遭环以石壁，外复栏以柱础。台上建阁，中奉武曲文昌，巍然一奇睹也。公之惠不惟爱及吾民之身，且爱及后世无涯矣。秉钺宪臣，孜孜然若祖父之拊循其后人，而冀其骎骎盛于曩时。《诗》云：‘恺悌君子，民之父母。’惟公以之。
惜未落成，解组而去。是役也，费几二千金。公犹虑其无成，而于镇沅候代之日，续发五百金，贮府库以终其事，公之心愈殷殷矣。奈何督役者不体其心，于其行也侵渔怠玩，苟且塞责；而意见不同者或视为不急之务，遂尔中止。上则渗漏，下则溃决，其势将至于不可收拾，感公者徒怃心长叹耳。
乡荐绅许君崇德、刘君学易、薛君彦卿倡议，谓：‘公造福吾黔，不惜重费而兴此大役，功几九仞矣；吾侪倘靳一篑之覆，是祖父为其子孙深计远虑，殚力裨补，而为之子孙者坐视其倾圮而不为之所，毋乃不可乎？’诸大夫翕然是之，即以其事属之许君，而输钱谷助工者争先焉。君理江公余惠，而佐以募金，计费度材，调工覈役，皇皇然如经营其家而不以为劳，此何心哉？诚惜之也。
于未备者增之，续石桥五洞，宛如长虹驾汉矣；于未妥者更之，易楼阁三重，耸拔如华表捍门矣。回澜潴泽，束咽聚气，民其永赖乎！告成之日，荐绅相庆，谓礼有功于民则祀。公之功在黔者未可一二屈指，矧兹尤其不朽者，宜祀。请之当路，奉公于名宦祠，而尤专祀于堤阁，志不忘也。
当是时，公去黔盖八年所矣，岂有所要求迫勒而为之者？此可以观民心乎。昔苏长公守杭，筑万柳堤，利赖无穷，后人思之，名曰苏公堤。今江公之惠奚让于此？黔人亦名曰江公堤，其思同，故其名亦同耳。时部院郭公、直指金公乐观厥成，咸有惠施焉。诸大夫属予纪其事以诏来者，遂次其繇而记之。士民乐输、乡约效劳者，例得纪于碑阴云。
赐进士、巡按广东监察御史、前翰林院庶吉士、郡人马文卿撰。",简体整理,ocr-collated-not-character-perfect,complete,,甲秀楼同址初建、续桥、三重楼阁竣工的核心工程文献；全文未出现‘甲秀楼’名。,,《瑞阳阿集》卷九，卷九，卷九，约叶七至九［base-text，底本］,https://www.shidianguji.com/zh/book/CADAL02064788/chapter/1lak3x1pq1usn,0,,作品年代与1743见证刻本年代分开记录。
work-lu-ciyun-bietouji-laifengge-ji,鳖头矶来凤阁记,,游记,清,康熙,康熙年间，确年待考,1662,1689,approximate,,,strict_jiaxiu,confirmed,陆次云,陆次云［author，confirmed］,"阁压矶，矶压水，水环泻乎矶下，矶逆溯乎水上。乱石巉岩，与飞流相激，喧雷捲雪，高下参差。倚洪梁而望之，海幄起于琼宫，蜃楼出于蛟室矣。
阁之前，溪鱼潜跃，莫网莫纶。渔人乃载鸬鹚，放㺍獭，羽狡毛獧，此出彼没。纤鳞各散，巨尾互举，神鲤腾波，泼剌径去。相视笑乐，不觉竟夕。
而月轮东上，影入清波，绝底空明，螺蛤堪数。又似玉宇琼楼与水晶宫阙合为一境，而栖神物外也。
夫石鱼湖杯流耳，而次山矜得其遇；钴鉧潭坳塘耳，而子厚喜其勿湮。使见是矶，更不知如何喜跃，余可无以传之，与柳、元较胜乎？
是为记。",简体整理（保留部分异体）,source-transcription,complete,,来凤阁即甲秀楼历史改名阶段，题名直接对应同一建筑。,,诗不可说丨甲秀风雨四百载，有凤来仪景象新，陆次云《鳖头矶来凤阁记》段［full-text-transcription］,https://www.gzstv.com/a/6a915a3b02fe404da65de01b59b9ce22,0,,收入《北墅绪言》；确切作年未定。
work-tian-wen-chongxiu-jiaxiu-beiji,重修甲秀楼碑记,,碑记,清,康熙,康熙二十八年己巳,1689,1689,certain,,,strict_jiaxiu,confirmed,田雯（字纶霞）,田雯［author，confirmed］,甲秀楼者，江公东之之所从事也。越今百馀年矣，波涛汹涌之冲激，风雨雷霆之动荡，乌得完楼哉？盖江公而后无复喜从事者。何今之人不逮前人也？江公当日知楼之有关于黔而皇皇为之，且有关于黔之人才风气而以甲秀名之，其用意深矣。假使江公之后，或数年而一人焉，或三五十年而又一人焉，而不听乎波涛汹涌、风雨雷霆之交于楼也，楼虽不完，亦不若今日之甚矣。无如江公而后遂成绝响，落落百馀年，无复喜从事者，斯亦楼之不幸也。使人而皆喜从事，则天下何足治，不独一楼然矣。后之君子常有所不屑则躁，否则惰；躁则妄，惰则废。既妄且废，则天下之所以不治者常出于此而不足怪。呜呼，此苏子瞻之所以致叹于驿馆欤！夫事之始也有创之者，事之终也有成之者。当夫创者既往、成者未来，欲存欲亡、可断可续之际，有人焉存一线以待来兹，其人不可少，其功最大。如经学与理学相表里也。理学成于宋儒，韪矣；然言诚、言敬、言礼、言格物致知、正心诚意，莫不本于经学。苟于嬴氏灰烬之馀，非得汉儒诸人经各有注、传各有释，火尽薪传以闻于后世，宋儒欲直接洙泗之渊源，讵可得乎？盖前事者后事之藉，而绝续之交不可无其人也。嗟哉，此楼也！江公之后有人焉，今则事半而功倍也；惜江公之后无人焉，今则事倍而功半也。大抵泄泄焉无复喜从事者，吾虑黔之终无此楼也。于是鸠工集材而新之，度木于林，伐石于山，计瓦甓墁钉于匠。兴工于己巳之二月，凡百五十日而成立于鱼矶烟水之上，跨乎长桥垂虹之间，可以为黔人之美观焉。虽事倍功半，远不逮江公之所为，亦可以无遗憾矣。然而人才风气之所关，其在斯乎？今日者风气日挽，人才辈出，甲乙科名之盛，又于黔士之文章卜之，不尽系乎楼之完不完也。余将以告夫后之喜从事者。是为记。,简体整理,historical-source-transcription,complete,,康熙二十八年重修甲秀楼碑记，正文明确‘以甲秀名之’。,,《贵州通志》（四库全书本）卷四十二，卷四十二，卷四十二《重修甲秀楼碑记》［base-text，底本］,https://zh.wikisource.org/wiki/貴州通志_(四庫全書本)/卷42,0,,标点为本次整理；用字据维基文库转录规范化，严格字形研究须回查四库影印。
work-jiaxiu-inscription-01-eertai,甲秀楼,,七言绝句二首,清,雍正,雍正中,1723,1735,approximate,,,strict_jiaxiu,confirmed,鄂尔泰,鄂尔泰［author，confirmed］,"鳌矶湾下柳毵毵，芳杜洲前小驻骖。更上层楼瞰流水，虹桥风景似江南。
炊烟卓午散轻丝，十万人家饭熟时。问讯何年招济火，斜阳满树武乡祠。",简体（底本繁体转写）,facsimile-checked,complete,一,甲秀楼石刻,两首七言绝句分行录入。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第466页；分目“甲秀楼石刻一”［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-008_print-066.png；facsimiles/qing_stones/gztz_v152_scan-008_print-066_master.jp2,首句底本影印作“鳌矶湾下”；不从后世转录“鳌矶溪下”。
work-jiaxiu-inscription-02-zou-yigui,戊午登甲秀楼送阮主试即依赠韵,,七言律诗二首,清,乾隆,戊午（底本分目旁又标乾隆元年）,1738,1738,conflicted,,,strict_jiaxiu,confirmed,邹一桂,邹一桂［author，confirmed］,"休夸辟棘自唐蒙，圣代车书作僰通。
陶径娱宾聊暇日，庾楼成唱续高风。
卷帘花色三秋候，凭槛霞光万岭中。
试跨双虹看题柱，衮衣今日正思公。
朗照如君真月鉴，余波赠我亦天神。
偶于黔地歌三叠，并想燕台少一人。
薄宦自怜增白首，乱山犹喜隔红尘。
回瞻帝阙无多别，遥约梅花绽早春。",简体（底本繁体转写）,facsimile-checked,complete,二,甲秀楼石刻,两首七言律诗连续录入。,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第467页；分目“甲秀楼石刻二”［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-009_print-067.png；facsimiles/qing_stones/gztz_v152_scan-009_print-067_master.jp2,题中戊午换算为乾隆三年（1738），与分目标“乾隆元年”（1736）冲突。首联末字影印辨作“僰通”，不从二手OCR“粤通”。
work-jiaxiu-inscription-03-wu-dashan,壬午仲春登甲秀楼,,七言绝句,清,乾隆,乾隆二十七年壬午,1762,1762,certain,,,strict_jiaxiu,confirmed,吴达善,吴达善［author，confirmed］,为寻胜地一登楼，百面云山尽入眸。多少春光题不出，柳烟轻宕小桥头。,简体（底本繁体转写）,facsimile-checked,complete,三,甲秀楼石刻,,《贵州通志》卷一百五十二《金石志四》，卷一百五十二，影印PDF图像约第470页；印刷页71［base-text，底本］,https://upload.wikimedia.org/wikipedia/commons/9/9a/NLC403-311998003695-160096_%E8%B2%B4%E5%B7%9E%E9%80%9A%E5%BF%97_%E6%B0%91%E5%9C%8B37%E5%B9%B4%281948%29_%E5%8D%B7%E4%B8%80%E7%99%BE%E4%BA%94%E5%8D%81%E4%BA%8C.pdf,2,facsimiles/qing_stones/gztz_v152_scan-013_print-071.png；facsimiles/qing_stones/gztz_v152_scan-013_print-071_master.jp2,第二句底本作“百面云山”，不从通行转录“四面云山”。
