status,work_id,title,authors,source_id,source_title,image_path,scan_page,print_page,image_role,file_format,pixel_width,pixel_height,file_bytes,sha256,capture_method,quality_note,locator,reason,checked_date,notes
available,work-liu-yunliang-jiaxiu-couplet-206,甲秀楼楹联,刘蕴良（字玉山）,source-guizhou-gongbao-1915-jiaxiu,《贵州公报》1915年1月24日甲秀楼楹联刊载页,facsimiles/republic/source-guizhou-gongbao-1915-jiaxiu/guizhou-gongbao-1915-01-24-jiaxiu.jpg,,,web-hosted-facsimile-original,JPG,600,496,220070,218fbe1ae86e4f781eccb44de103590d3645a3d4559825b7da97fcb085d47f01,direct-download-of-official-page-embedded-JPEG,从贵州省人大官方文章所嵌《贵州公报》原报影像URL直接下载；保持站点提供的原JPEG字节，未缩放、未重编码。600×496为该官方页面公开提供的原始尺寸。,,,,1915-01-24《贵州公报》刊登‘我真氏刘蕴良稿’甲秀楼长联的报页缩影；现代网页截图未作为替代品。；1915-01-24《贵州公报》刊登‘我真氏刘蕴良稿’甲秀楼长联的报页缩影；现代网页截图未作为替代品。
available,work-chen-shi-du-leinashi-jiaxiu-fenghe,读纍衲使君九日登甲秀楼诗有“两京应忆题糕客，万里难销叱驭心”之句赋此奉和,陈诗（字子言）,source-fengtai-shiguan-hkust-1936,《凤台山馆续集》（封面题《凤台山馆诗集续钞》）,facsimiles/republic/source-fengtai-shiguan-hkust-1936/pg00159.jpg,159,四十一,maximum-public-library-original-page,JPG,1817,2964,920958,b3b8be6b0c923754d7bbb90917095167ff52b427b0eebaa2f8052fc8a4e81d65,public-library-original-JPEG-direct-download,从香港科技大学古籍库直接下载公开原始单叶JPEG；未在本地缩放、裁切、增强或重编码。已按原尺寸视觉核验。,馆藏图像pg00159；书叶四十一,,,《凤台山馆诗集续钞》卷下《燕居集》书叶四十一；本页完整包含题名及七律八句，并有香港科技大学图书馆水印。；目标诗题与八句全文均在本页；保存的是馆藏公开原始JPEG，未重采样。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0013.jpg,13,,maximum-public-IIIF-access-copy,JPG,2065,2971,550257,10e453958b645ae72c9cbb7fff315c046abc2d89d03a357be1dd8af02c008403,public-IIIF-Level-2-max-successful-width-direct-JPEG,从抗日战争与近代中日关系文献数据平台公开IIIF服务直接下载JPEG，宽2065像素为逐级测试所得最高成功请求尺寸；文件未在本地重编码。,扫描页13,,,《旅行杂志》第13卷第3号《贵阳杂写》全篇影像1/8；本页可见题名‘贵阳杂写’及署名‘顾君谷’。；《旅行杂志》第13卷第3号《贵阳杂写》全篇影像1/8；本页可见题名‘贵阳杂写’及署名‘顾君谷’。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0014.jpg,14,,maximum-public-IIIF-access-copy,JPG,2065,2977,574931,17d68f1c368c082bd53b6af04f28e7005acf0f5a3622aa2d177c7fa06cee9f8f,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页14,,,《贵阳杂写》全篇影像2/8。；《贵阳杂写》全篇影像2/8。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0015.jpg,15,,maximum-public-IIIF-access-copy,JPG,2065,2971,535735,18b5b10b3bbf3c2086f0cd5ac4e4f424187d2cc9dadbc0896581a0fd2bc382be,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页15,,,《贵阳杂写》全篇影像3/8。；《贵阳杂写》全篇影像3/8。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0016.jpg,16,,maximum-public-IIIF-access-copy,JPG,2065,2977,494442,33f79d9b8c581a73974152262a93573a8189158c1b1a17535082ad81a4510733,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页16,,,《贵阳杂写》全篇影像4/8。；《贵阳杂写》全篇影像4/8。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0017.jpg,17,,maximum-public-IIIF-access-copy,JPG,2065,2971,570835,0530955944f0ce76c715c6ff47ad1ba1be67303f15f8f822f65d9362385f9870,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页17,,,《贵阳杂写》全篇影像5/8。；《贵阳杂写》全篇影像5/8。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0018.jpg,18,,maximum-public-IIIF-access-copy,JPG,2065,2977,508778,f92a20084a2865f64ec518311f67558744173daba2d4a5006e3d2d256fa013a3,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页18,,,《贵阳杂写》全篇影像6/8。；《贵阳杂写》全篇影像6/8。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0019.jpg,19,,maximum-public-IIIF-access-copy,JPG,2065,2971,567057,5458a7100546d0b8217394ac626ce7603cb8b78d9749094edcedddf0218cab86,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。已按原尺寸视觉核验。,扫描页19,,,《贵阳杂写》全篇影像7/8；本页直接包含‘从岸上到甲秀楼有堤岸可通……楼旁有观音寺，再进有翠微阁，去夏四海酒家在此设立餐馆’段落。；《贵阳杂写》全篇影像7/8；本页直接包含‘从岸上到甲秀楼有堤岸可通……楼旁有观音寺，再进有翠微阁，去夏四海酒家在此设立餐馆’段落。
available,work-gu-jungu-guiyang-zaxie-jiaxiu-1939,贵阳杂写（甲秀楼相关节选）,顾君谷,source-travel-magazine-1939-03,《旅行杂志》第十三卷第三号,facsimiles/republic/source-travel-magazine-1939-03/page-0020.jpg,20,,maximum-public-IIIF-access-copy,JPG,2065,2977,483652,b3fb3bb519412fdce670c8835effc1d2fe81e5ba8b89358a99fa2fe0e47338c7,public-IIIF-Level-2-max-successful-width-direct-JPEG,从公共IIIF服务直接下载最高成功尺寸JPEG；未在本地缩放或重编码。,扫描页20,,,《贵阳杂写》全篇影像8/8。；《贵阳杂写》全篇影像8/8。
